company,job_title,linkedin_job_id,location,posted_on,posted_date,work_mode,employment_type,skills
Microsoft,SOFTWARE ENGINEER,view,"Bengaluru, Karnataka, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",6 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",4 days ago,,null,null,[]
Microsoft,Software Engineer I,view,"Bengaluru, Karnataka, India",4 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Karnataka, India",2 weeks ago,,null,null,[]
Microsoft,Applied Sciences IC2,view,"Bengaluru, Karnataka, India",6 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Maharashtra, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Telangana, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",1 week ago,,null,null,[]
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",1 week ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Delhi, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",1 day ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Haryana, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Andhra Pradesh, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Uttar Pradesh, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Goa, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"West Bengal, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Noida, Uttar Pradesh, India",5 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Senior HR Business Partner,view,"Hyderabad, Telangana, India",1 week ago,,null,null,[]
Microsoft,Customer Success Account Manager,view,Mumbai Metropolitan Region,1 week ago,,null,null,[]
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2 weeks ago,,null,null,[]
Microsoft,Associate Researcher,view,"Bengaluru, Karnataka, India",23 hours ago,,null,null,[]
Microsoft,Technical Support Engineering,view,"Bengaluru, Karnataka, India",2 weeks ago,,null,null,[]
Microsoft,Demand Planning,view,"Hyderabad, Telangana, India",2 weeks ago,,null,null,[]
Microsoft,Data Scientist,view,"Bengaluru, Karnataka, India",2 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Bengaluru, Karnataka, India",3 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Madhya Pradesh, India",2 weeks ago,,null,null,[]
Microsoft,Designer II,view,"Bengaluru, Karnataka, India",5 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",4 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Lakshadweep, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Tamil Nadu, India",2 weeks ago,,null,null,[]
Microsoft,Designer 2,view,"Hyderabad, Telangana, India",3 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Uttarakhand, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Mizoram, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Meghalaya, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Nagaland, India",2 weeks ago,,null,null,[]
Microsoft,Strategic Sales Business Development Manager,view,Mumbai Metropolitan Region,4 days ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Himachal Pradesh, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineering: Internship Opportunity,view,"Odisha, India",2 weeks ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
Microsoft,Digital Specialist – Support Solution (India),view,"Gurgaon, Haryana, India",4 days ago,,null,null,[]
Microsoft,Software Engineer,view,"Hyderabad, Telangana, India",5 days ago,,null,null,[]
